Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D18,D,D_SOD-123,-7.0275,-79.3725,90.0,bottom
D19,D,D_SOD-123,12.0225,-79.3725,90.0,bottom
D20,D,D_SOD-123,31.0725,-79.3725,90.0,bottom
D21,D,D_SOD-123,50.1225,-79.3725,90.0,bottom
D22,D,D_SOD-123,69.1725,-79.3725,90.0,bottom
D23,D,D_SOD-123,88.2225,-79.3725,90.0,bottom
D24,D,D_SOD-123,107.2725,-79.3725,90.0,bottom
D25,D,D_SOD-123,126.3225,-79.3725,90.0,bottom
D26,D,D_SOD-123,145.3725,-79.3725,90.0,bottom
D27,D,D_SOD-123,164.4225,-79.3725,90.0,bottom
D28,D,D_SOD-123,183.4725,-79.3725,90.0,bottom
D29,D,D_SOD-123,202.5225,-79.3725,90.0,bottom
D30,D,D_SOD-123,221.5725,-79.3725,90.0,bottom
D31,D,D_SOD-123,229.51,-79.3725,90.0,bottom
D32,D,D_SOD-123,283.485,-79.3725,90.0,bottom
D33,D,D_SOD-123,302.535,-79.31,90.0,bottom
D34,D,D_SOD-123,321.585,-79.3725,90.0,bottom
D35,D,D_SOD-123,-2.265,-98.4225,90.0,bottom
D36,D,D_SOD-123,21.5475,-98.4225,90.0,bottom
D37,D,D_SOD-123,40.5975,-98.4225,90.0,bottom
D38,D,D_SOD-123,59.6475,-98.4225,90.0,bottom
D39,D,D_SOD-123,78.6975,-98.4225,90.0,bottom
D40,D,D_SOD-123,97.7475,-98.4225,90.0,bottom
D41,D,D_SOD-123,116.7975,-98.485,90.0,bottom
D42,D,D_SOD-123,135.8475,-98.485,90.0,bottom
D43,D,D_SOD-123,154.8975,-98.4225,90.0,bottom
D44,D,D_SOD-123,173.9475,-98.4225,90.0,bottom
D45,D,D_SOD-123,192.9975,-98.4225,90.0,bottom
D46,D,D_SOD-123,212.0475,-98.4225,90.0,bottom
D47,D,D_SOD-123,231.0975,-98.4225,90.0,bottom
D48,D,D_SOD-123,241.5125,-98.4525,90.0,bottom
D49,D,D_SOD-123,283.485,-98.4225,90.0,bottom
D50,D,D_SOD-123,302.535,-98.4225,90.0,bottom
D51,D,D_SOD-123,321.585,-98.4225,90.0,bottom
D52,D,D_SOD-123,0.11625,-117.4725,90.0,bottom
D53,D,D_SOD-123,26.31,-117.4725,90.0,bottom
D54,D,D_SOD-123,45.36,-117.4725,90.0,bottom
D55,D,D_SOD-123,64.41,-117.4725,90.0,bottom
D56,D,D_SOD-123,83.46,-117.41,90.0,bottom
D57,D,D_SOD-123,102.51,-117.41,90.0,bottom
D58,D,D_SOD-123,121.56,-117.41,90.0,bottom
D59,D,D_SOD-123,140.61,-117.41,90.0,bottom
D60,D,D_SOD-123,159.66,-117.41,90.0,bottom
D61,D,D_SOD-123,178.71,-117.41,90.0,bottom
D62,D,D_SOD-123,197.76,-117.41,90.0,bottom
D63,D,D_SOD-123,216.81,-117.41,90.0,bottom
D64,D,D_SOD-123,224.7475,-117.4725,90.0,bottom
D65,D,D_SOD-123,4.87875,-136.5225,90.0,bottom
D66,D,D_SOD-123,20.75375,-136.5225,90.0,bottom
D67,D,D_SOD-123,35.835,-136.5225,90.0,bottom
D68,D,D_SOD-123,54.885,-136.5225,90.0,bottom
D69,D,D_SOD-123,73.935,-136.5225,90.0,bottom
D70,D,D_SOD-123,92.985,-136.5225,90.0,bottom
D71,D,D_SOD-123,112.035,-136.5225,90.0,bottom
D72,D,D_SOD-123,131.0625,-136.5425,90.0,bottom
D73,D,D_SOD-123,150.135,-136.5225,90.0,bottom
D74,D,D_SOD-123,169.185,-136.5225,90.0,bottom
D75,D,D_SOD-123,188.235,-136.5225,90.0,bottom
D76,D,D_SOD-123,207.285,-136.5225,90.0,bottom
D77,D,D_SOD-123,222.36625,-136.5225,90.0,bottom
D78,D,D_SOD-123,259.6725,-136.5225,90.0,bottom
D79,D,D_SOD-123,302.535,-136.5225,90.0,bottom
D80,D,D_SOD-123,2.4975,-155.5725,90.0,bottom
D81,D,D_SOD-123,25.51625,-155.5725,90.0,bottom
D82,D,D_SOD-123,50.1225,-155.5725,90.0,bottom
D83,D,D_SOD-123,126.3225,-155.5725,90.0,bottom
D84,D,D_SOD-123,185.85375,-155.5725,90.0,bottom
D85,D,D_SOD-123,214.42875,-155.5725,90.0,bottom
D86,D,D_SOD-123,238.24125,-155.5725,90.0,bottom
D87,D,D_SOD-123,259.6725,-155.5725,90.0,bottom
D88,D,D_SOD-123,283.485,-155.5725,90.0,bottom
D89,D,D_SOD-123,302.535,-155.5725,90.0,bottom
D90,D,D_SOD-123,321.585,-155.5725,90.0,bottom
F1,500mA,Fuse_0402_1005Metric,263.411,-50.567,-90.0,bottom
J1,USB_C_Receptacle_USB2.0,USB_C_Receptacle_HRO_TYPE-C-31-M-12,268.58625,-43.0375,0.0,bottom
LED1,SK6812MINI-E,LED_6028R,287.66,-117.04,-90.0,bottom
LED2,SK6812MINI-E,LED_6028R,293.1325,-117.04,-90.0,bottom
LED3,SK6812MINI-E,LED_6028R,298.78,-117.04,-90.0,bottom
LED4,SK6812MINI-E,LED_6028R,304.53,-117.04,-90.0,bottom
LED5,SK6812MINI-E,LED_6028R,310.19,-117.04,-90.0,bottom
LED6,SK6812MINI-E,LED_WS2812_2020,325.91,-134.3075,-90.0,bottom
LED7,SK6812MINI-E,LED_WS2812_2020,325.91,-108.11,-90.0,bottom
LED8,SK6812MINI-E,LED_WS2812_2020,111.865,-46.305,0.0,bottom
LED9,SK6812MINI-E,LED_WS2812_2020,160.265,-46.305,0.0,bottom
LED10,SK6812MINI-E,LED_WS2812_2020,205.615,-46.305,0.0,bottom
LED11,SK6812MINI-E,LED_WS2812_2020,246.985,-46.31,0.0,bottom
LED12,SK6812MINI-E,LED_WS2812_2020,297.475,-46.31,0.0,bottom
LED13,SK6812MINI-E,LED_WS2812_2020,325.91,-56.2175,-90.0,bottom
LED14,SK6812MINI-E,LED_WS2812_2020,325.91,-82.09,-90.0,bottom
LED15,SK6812MINI-E,LED_WS2812_2020,73.545,-46.305,0.0,bottom
LED16,SK6812MINI-E,LED_WS2812_2020,26.87,-46.32,0.0,bottom
LED17,SK6812MINI-E,LED_6028R,8.73,-48.11,180.0,bottom
LED18,SK6812MINI-E,LED_6028R,8.73,-54.1,180.0,bottom
LED19,SK6812MINI-E,LED_6028R,8.73,-60.0975,180.0,bottom
LED20,SK6812MINI-E,LED_WS2812_2020,-13.175,-46.32,0.0,bottom
LED21,SK6812MINI-E,LED_WS2812_2020,-17.67,-56.21,90.0,bottom
LED22,SK6812MINI-E,LED_WS2812_2020,136.443571,-162.695,180.0,bottom
LED23,SK6812MINI-E,LED_WS2812_2020,101.163214,-162.695,180.0,bottom
LED24,SK6812MINI-E,LED_WS2812_2020,71.625,-162.695,180.0,bottom
LED25,SK6812MINI-E,LED_WS2812_2020,30.6025,-162.695,180.0,bottom
LED26,SK6812MINI-E,LED_WS2812_2020,-17.66,-134.31,90.0,bottom
LED27,SK6812MINI-E,LED_WS2812_2020,-17.595,-108.11,90.0,bottom
LED28,SK6812MINI-E,LED_WS2812_2020,-17.595,-82.09,90.0,bottom
LED29,SK6812MINI-E,LED_WS2812_2020,171.723928,-162.695,180.0,bottom
LED30,SK6812MINI-E,LED_WS2812_2020,207.004285,-162.695,180.0,bottom
LED31,SK6812MINI-E,LED_WS2812_2020,242.284642,-162.695,180.0,bottom
LED32,SK6812MINI-E,LED_WS2812_2020,277.565,-162.69,180.0,bottom
R1,5.1k,R_0402_1005Metric,265.824,-49.832,-90.0,bottom
R2,DNF,R_0402_1005Metric,287.067504,-109.07625,90.0,bottom
R3,5.1k,R_0402_1005Metric,271.285,-49.834,-90.0,bottom
R4,1k,R_0402_1005Metric,288.339129,-109.08,-90.0,bottom
R5,27,R_0402_1005Metric,269.24415,-109.09,90.0,bottom
R6,27,R_0402_1005Metric,267.96,-109.0975,90.0,bottom
R7,1k,R_0402_1005Metric,269.2625,-122.9125,90.0,bottom
SW1,SW_Push,SW_SPST_SKQG_WithStem,311.785,-107.44,180.0,bottom
U1,XC6206PxxxMR,SOT-23,264.65,-56.2025,90.0,bottom
U2,SRV05-4,SOT-23-6-routable,268.58625,-51.483,180.0,bottom
U3,W25Q32JVSS,SOIC-8_5.23x5.23mm_P1.27mm,280.729129,-108.32,180.0,bottom
U4,RP2040,RP2040-QFN-56,271.12175,-117.175,180.0,bottom
U5,74AHCT1G125,SOT-23-5,282.46,-115.2625,0.0,bottom
Y1,Crystal_GND24_Small,Crystal_SMD_3225-4Pin_3.2x2.5mm,273.328,-125.85125,0.0,bottom
